FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,SE_ANNO_CAD_DATA
KINDERGARTENOGD.877639,877639,POINT (16.32721045732072 48.180787573029534),Kindergarten,Wiener Kindergärten,"12., Ruckergasse 21",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 864 700,
KINDERGARTENOGD.877640,877640,POINT (16.317341925286946 48.17534935663688),Kindergarten,Wiener Kindergärten,"12., Stranitzkygasse 4",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 864 708,
KINDERGARTENOGD.877641,877641,POINT (16.328893170090563 48.175491220618404),Kindergarten,Wiener Kindergärten,"12., Tanbruckgasse 26",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Familiengruppe 3-10 Jahre,Öffentlich,+43 676 811 862 144,
KINDERGARTENOGD.877642,877642,POINT (16.338759932708008 48.17212929227071),Kindergarten,Wiener Kindergärten,"12., Untermeidlinger Straße 67",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 530,
KINDERGARTENOGD.877643,877643,POINT (16.26869439750729 48.184106911247824),Kindergarten,Wiener Kindergärten,"13., Angermayergasse 9",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 899 572,
KINDERGARTENOGD.877644,877644,POINT (16.283596240364407 48.17009405698493),Kindergarten,Wiener Kindergärten,"13., Anton-Langer-Gasse 39",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 755,
KINDERGARTENOGD.877645,877645,POINT (16.289234787627024 48.163485019566494),Kindergarten,Wiener Kindergärten,"13., Gallgasse 71",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 760,
KINDERGARTENOGD.877646,877646,POINT (16.284169791003674 48.16528329293712),Kindergarten,Wiener Kindergärten,"13., Klitschgasse 31",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Öffentlich,+43 676 811 862 613,
KINDERGARTENOGD.877647,877647,POINT (16.287417732243814 48.18538970644523),Kindergarten,Wiener Kindergärten,"13., Stoesslgasse 8a",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Öffentlich,+43 676 811 862 609,
KINDERGARTENOGD.877648,877648,POINT (16.29106413302046 48.19552977129357),Kindergarten,Wiener Kindergärten,"14., Felbigergasse 45",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 035,
KINDERGARTENOGD.877649,877649,POINT (16.308237484879864 48.19977666896923),Kindergarten,Wiener Kindergärten,"14., Hägelingasse 8-10",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 043,
KINDERGARTENOGD.877650,877650,POINT (16.292040764210256 48.19841498646114),Kindergarten,Wiener Kindergärten,"14., Heinrich-Collin-Straße 13",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 861 582,
KINDERGARTENOGD.877651,877651,POINT (16.307531342719493 48.20008748047774),Kindergarten,Wiener Kindergärten,"14., Kendlerstraße 10",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 058,
KINDERGARTENOGD.877652,877652,POINT (16.27403508466567 48.19654428273811),Kindergarten,Wiener Kindergärten,"14., Lautensackgasse 20",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 917,
KINDERGARTENOGD.877653,877653,POINT (16.297970971895452 48.19535941737932),Kindergarten,Wiener Kindergärten,"14., Linzer Straße 128",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 067,
KINDERGARTENOGD.877654,877654,POINT (16.263015506832453 48.201835070151255),Kindergarten,Wiener Kindergärten,"14., Linzer Straße 386-390",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 073,
KINDERGARTENOGD.877655,877655,POINT (16.256522652917454 48.20194785329313),Kindergarten,Wiener Kindergärten,"14., Linzer Straße 417",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 081,
KINDERGARTENOGD.877656,877656,POINT (16.313619672619556 48.19767379791393),Kindergarten,Wiener Kindergärten,"14., Lortzinggasse 2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Integrationshort 6-10 Jahre,Öffentlich,+43 676 811 862 926,
KINDERGARTENOGD.877657,877657,POINT (16.309069430868895 48.19811762335174),Kindergarten,Wiener Kindergärten,"14., Meiselstraße 67-69",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 909,
KINDERGARTENOGD.876940,876940,POINT (16.405407114674972 48.22373985626109),Dorainsel 2,Dorainsel - Verein für frühkindliche Mehrsprachigkeit an Kindertageseinrichtungen,"2., Mexikoplatz 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876941,876941,POINT (16.302754632116542 48.19856077113485),Rosi Biene Maja,Kindergruppen ROSI,"14., Leyserstraße 2a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876942,876942,POINT (16.302766268226524 48.198664196217024),Rosi Wunderland,Kindergruppen ROSI,"14., Leyserstraße 2a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876943,876943,POINT (16.302752179312773 48.198609333663605),Rosi Bären,Kindergruppen ROSI,"14., Leyserstraße 2a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876944,876944,POINT (16.34114853409317 48.18679940489627),Play and Learn - englischsprachige Kindergruppe 4,Verein Kindergruppe Play and Learn - englischsprachige KG,"12., Schönbrunnerstraße 148",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876945,876945,POINT (16.418891508812845 48.17432898830987),Grüne Tabu - Kindergruppe,Tabu - Kindergruppen,"11., Krausegasse 8",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876946,876946,POINT (16.418891508812845 48.17432898830987),Blaue Tabu - Kindergruppe,Tabu - Kindergruppen,"11., Krausegasse 8",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876947,876947,POINT (16.432780532621617 48.25110147529632),Antarah und Abla,Abendstern Kinderbetreuungsverein,"22., Donaufelder Straße 181",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876948,876948,POINT (16.432780532621617 48.25110147529632),Mulan und Hu,Abendstern Kinderbetreuungsverein,"22., Donaufelder Straße 181",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876949,876949,POINT (16.432780532621617 48.25110147529632),Aladin und Badrulbadur,Abendstern Kinderbetreuungsverein,"22., Donaufelderstraße 181",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876950,876950,POINT (16.432780532621617 48.25110147529632),Hänsel und Gretel,Abendstern Kinderbetreuungsverein,"22., Donaufelderstraße 181",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876951,876951,POINT (16.364690539007462 48.183303616151186),Pilot 3,Verein Kindergruppen Pilot,"5., Margaretengürtel 18/3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876952,876952,POINT (16.364872255538113 48.18336787223397),Pilot 4,Verein Kindergruppen Pilot,"5., Margaretengürtel 18/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876953,876953,POINT (16.365042808546253 48.18342817382959),Pilot 5,Verein Kindergruppen Pilot,"5., Margaretengürtel 18/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876954,876954,POINT (16.330469011228704 48.191661379703234),Schlumpfhausen,Abendstern Kinderbetreuungsverein,"15., Mariahilferstraße 176",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876955,876955,POINT (16.330469011228704 48.191661379703234),Muppets,Abendstern Kinderbetreuungsverein,"15., Mariahilferstraße 176",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876956,876956,POINT (16.330469011228704 48.191661379703234),Enthausen,Abendstern Kinderbetreuungsverein,"15., Mariahilferstraße 176",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876957,876957,POINT (16.330469011228704 48.191661379703234),Wunderland,Abendstern Kinderbetreuungsverein,"15., Mariahilferstraße 176",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876995,876995,POINT (16.36094950598508 48.17085876184807),Wunsch-Kindergruppe,DILEK Kindergruppen,"10., Bernhardstalgasse 45/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876996,876996,POINT (16.383060375977813 48.188672455316805),Puckis Home,"Familienservice Wien - Verein zur Fürsorge von Kindern, Jugendlichen und Familienangehörigen","3., Landstraßer Gürtel 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876997,876997,POINT (16.312915655789784 48.22566139819884),Zwergenhaus Hernals,Verein Wiener Kindergruppen,"17., Frauenfelderstraße 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876998,876998,POINT (16.36272657548255 48.19540948441431),Liebe Grossklein,Verein Wiener Kindergruppen,"4., Heumühlgasse 2a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876999,876999,POINT (16.36958115347412 48.22993831516599),El-Ihlas,EL-IHLAS Verein zur sprachlichen sowie vorschulischen Förderung und Integration von Kindern,"20., Hannovergasse 6/EG",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877000,877000,POINT (16.356623257418924 48.22618672544107),Kükennest 2,Dialog zwischen Integration und Bildung in Österreich - Dino,"9., Liechtensteinstraße 85",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877001,877001,POINT (16.274721403703474 48.19054321819754),Papageno - Auhofstraße,"Verein Privatkindergruppe ""Papageno"" - Hietzing","13., Auhofstraße 118",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877002,877002,POINT (16.44557063981036 48.23050302751612),Hotzenplotz 3,Verein Wiener Kinderdrehscheibe - Kindergruppe Hotzenplotz,"22., Viktor Kaplan Straße 11",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877003,877003,POINT (16.356623257418924 48.22618672544107),Kükennest 1,Dialog zwischen Integration und Bildung in Österreich - Dino,"9., Liechtensteinstraße 85",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877004,877004,POINT (16.36773061491968 48.22789721625587),Mariam 1,Kindergruppen Mariam,"20., Treustraße 16",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877005,877005,POINT (16.384677482258475 48.18977533913199),Schneckolino 1,Verein Schneckolino-Kinderbetreuungsstätte,"3., Mohsgasse 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877006,877006,POINT (16.385166855640275 48.21997145000266),Multilinguale Kindergruppe Kindertreff Elefant 2,Multilinguale Kindergruppe Kindertreff Elefant,"2., Pillersdorfergasse 8/1 EG",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877007,877007,POINT (16.361041644126022 48.17122323768805),Wunsch-Kindergruppe 2,DILEK Kindergruppen,"10., Bernhardtstalgasse 45",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877008,877008,POINT (16.358871134223126 48.187286573719895),Edelweiß,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877009,877009,POINT (16.358783297350033 48.187251337738545),Nelke,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877010,877010,POINT (16.35870958298796 48.187218527074016),Glockenblume,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877011,877011,POINT (16.35865698344365 48.18718571221214),Veilchen,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877012,877012,POINT (16.358864113699372 48.187225511217584),Tulpe,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877013,877013,POINT (16.35878675981504 48.18717390551548),Rose,Abendstern Kinderbetreuungsverein,"5., Siebenbrunnengasse 19-21/C",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877014,877014,POINT (16.38943002086667 48.23587006203957),Phantastisch 1,Kindergruppe Freiheit - Verein zur Integration von nichtschulpflichtigen Kindern und Eltern mit migr,"20., Engerthstraße 124",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877015,877015,POINT (16.38943002086667 48.23587006203957),Phantastisch 2,Kindergruppe Freiheit - Verein zur Integration von nichtschulpflichtigen Kindern und Eltern mit migr,"20., Engerthstraße 124",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877016,877016,POINT (16.36773061491968 48.22789721625587),Mariam 2,Kindergruppen Mariam,"20., Treustraße 16",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877017,877017,POINT (16.39115954823765 48.17339225522459),Aladin 5,Verein Kindergruppe Aladin,"10., Quellenstraße 37",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877018,877018,POINT (16.39115954823765 48.17339225522459),Aladin 4,Verein Kindergruppe Aladin,"10., Quellenstraße 37",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877019,877019,POINT (16.395095851266053 48.196050412881824),Funny Kids 2,Kindergruppen Funny Kids,"3., Barmherzigengasse 17/5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877020,877020,POINT (16.395130817204386 48.196278192580486),Funny Kids 1,Kindergruppen Funny Kids,"3., Barmherzigengasse 17/6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877021,877021,POINT (16.311574998804947 48.21382810173862),LERNEN FÜRS LEBEN,Lernen fürs Leben - Integrativer Sozialverein,"16., Ottakringerstraße 194/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877022,877022,POINT (16.331820450532362 48.21478264596954),ZUKUNFT,Die Zukunft unserer Kinder - Kinderbetreuungsverein,"17., Kalvarienberggasse 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877023,877023,POINT (16.367726481833582 48.170132779053326),Mini Art 2,Kindergruppe Mini Art,"10., Van der Nüll Gasse 80",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877024,877024,POINT (16.338092537307613 48.22321640129164),Kinderlachen Kreuzgasse,Kindergruppe Kinderlachen Währing- gemeinnütziger Verein zur Förderung von Klein- und Schulkindern,"18., Kreuzgasse 37",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877025,877025,POINT (16.418985824644242 48.171866573122806),Blumengruppe,Verein Wiener Kindergruppen,"11., Simmeringer Hauptstraße 139",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877026,877026,POINT (16.4190156418904 48.17184775574614),Bienengruppe,Verein Wiener Kindergruppen,"11., Simmeringer Haupstraße 139",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877027,877027,POINT (16.364828368747887 48.23251721701367),InterDialog 2,Verein InterDialog - Verein für interkulturelle Verständigung und Bildung,"20., Denisgasse 37",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877028,877028,POINT (16.402999639494602 48.22020877167312),Juwa-BBZ Pistazie,Verein JUWA - Bildungs- und Beratungszentrum,"2., Wohlmuthstraße 15-17",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877030,877030,POINT (16.382416304856278 48.21954487746506),New Covenant - Internationale Christliche Privatkindergruppe,New Covenant - Internationale private Kinderbetreuung,"2., Novaragasse 9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877031,877031,POINT (16.31060547934548 48.193509140160614),Spielend Lernen 1 (gelbe Gruppe),Kindergruppe El-Emin-Spielend Lernen,"14., Linzerstraße 46",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877032,877032,POINT (16.31060547934548 48.193509140160614),Spielend Lernen 2 (grüne Gruppe),Kindergruppe El-Emin-Spielend Lernen,"14., Linzerstraße 46/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877033,877033,POINT (16.366711524875868 48.24220152329956),Kiwo 4,Kindergruppe KiWo,"20., Brigittenauer Lände 164-168/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877034,877034,POINT (16.389632520089833 48.21901357265667),Mete 3,Kindergruppen Mete,"2., Praterstern 1 (Zugang: Heinestraße 43) 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877035,877035,POINT (16.416992165823252 48.298145019066894),KICHERERBSEN MINI,Verein Kindergruppe Kichererbsen,"21., Karl-Lothringerstraße 56",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877036,877036,POINT (16.367597327660068 48.24206917469279),Kiwo 3,Kindergruppe KiWo,"20., Brigittenauer Lände 164-168",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877037,877037,POINT (16.47828456783599 48.21892090274694),Kleine Löwen,KL (= Kleine Löwen),"22., Eibengasse 59/EG",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877038,877038,POINT (16.37036078737722 48.21306179796341),KayKreativKids 1010 Wien,GUMPs Talent 84 - Gemeinnützige Nachwuchskünstlerförderung,"1., Passauerplatz 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877039,877039,POINT (16.388215797564698 48.21800501162746),Multi Kinderwelt,Kindergruppe Multi Kinderwelt,"2., Novaragasse 42",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877040,877040,POINT (16.415359899148633 48.30157241223204),Farbenfroh-Stammersdorfer Straße,Farbenfroh,"21., Stammersdorfer Straße 85",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877041,877041,POINT (16.415606438176454 48.25333306001781),Kinderland,Kindergruppe Mickey Mouse,"21., Donaufelderstraße 73/3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877042,877042,POINT (16.365335396432755 48.18548610685164),Atlantis 3,Verein Kindergruppen Atlantis,"5., Kriehubergasse 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877043,877043,POINT (16.365335396432755 48.18548610685164),Atlantis 4,Verein Kindergruppen Atlantis,"5., Kriehubergasse 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877029,877029,POINT (16.403080274181928 48.22012418899986),Juwa-BBZ Vanille,Verein JUWA - Bildungs- und Beratungszentrum,"2., Wohlmuthstraße 15-17",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877044,877044,POINT (16.39575527608261 48.20570012373891),Schatzinsel,"Kindergruppe ""Schatzinsel""","3., Rasumofskygasse 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877045,877045,POINT (16.32805949902711 48.1955830820194),KINDERGRUPPE HAPPY KIDS BILINGUAL,Happy Kids bilingual Kindergruppe,"15., Felberstraße 58",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877046,877046,POINT (16.41664555190452 48.27624636724694),Dorainsel 3,Dorainsel - Verein für frühkindliche Mehrsprachigkeit an Kindertageseinrichtungen,"2., Ennsgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877136,877136,POINT (16.30148521445515 48.213107316511504),NACHTFAMILIENGRUPPE,Personalvertretung d.Bediens. d.Wilhelminenspitals,"16., Johann-Staud-Straße 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877137,877137,POINT (16.31357368015877 48.216401634620965),LOKO,Kindergruppe Loko,"16., Römergasse 24",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877138,877138,POINT (16.377969403109777 48.17643627414381),HAYA,Kindergruppe Haya,"10., Pernersdorfergasse 26",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877139,877139,POINT (16.38066258047626 48.198053768588636),Nikolka,Pippi Langstrumpf Kinderbetreuung,"3., Strohgasse 31",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877140,877140,POINT (16.38066258047626 48.198053768588636),Schlaue Bienen,Pippi Langstrumpf Kinderbetreuung,"3., Strohgasse 31",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877141,877141,POINT (16.31928101518192 48.20768283003669),DSCHUNGEL 1,Kindergruppe Dschungel,"16., Thalhaimergasse 17-29/EG",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877142,877142,POINT (16.41683706944742 48.17631948298918),MAUMAU,Wiener Hilfswerk,"11., Wilhelm-Weber-Weg 1/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877143,877143,POINT (16.314664188640727 48.23741909888848),Spielzimmer 5 Sinne 2,"Verein ""Kindergruppe Spielzimmer 5 Sinne""","18., Geyergasse 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877144,877144,POINT (16.41522628710862 48.2533330526077),Kinderland 3,Kindergruppe Mickey Mouse,"21., Donaufelderstraße 73/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877145,877145,POINT (16.28681222136022 48.19008956988143),Kinderwelt Hietzing 3,Verein Kinderwelt Hietzing,"13., St. Veitgasse 74/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
